zipcode,state,income,cbsa_income,state_income,latitude,longitude
00681,PR,0,22443,26745,18.2,-67.14
00682,PR,20178,22443,26745,18.22,-67.16
00683,PR,22924,22443,26745,18.08,-67.04
00685,PR,21081,21867,26745,18.33,-66.99
00687,PR,23259,29711,26745,18.32,-66.4
00688,PR,19157,24437,26745,18.38,-66.62
00690,PR,17264,21867,26745,18.49,-67.09
00692,PR,23385,29711,26745,18.41,-66.32
00693,PR,25973,29711,26745,18.44,-66.39
00694,PR,0,29711,26745,18.48,-66.39
00698,PR,23602,21690,26745,18.03,-66.86
00703,PR,25168,29711,26745,18.25,-66.1
00704,PR,24052,22747,26745,17.96,-66.22
00705,PR,24974,29711,26745,18.14,-66.26
00707,PR,24529,29711,26745,18,-65.9
00714,PR,16126,20737,26745,17.97,-66.06
00715,PR,17656,22541,26745,18.01,-66.56
00716,PR,23598,22541,26745,17.98,-66.6
00717,PR,18339,22541,26745,18,-66.61
00718,PR,20694,29711,26745,18.21,-65.73
00719,PR,22343,29711,26745,18.3,-66.24
00720,PR,18548,29711,26745,18.22,-66.39
00721,PR,0,29711,26745,18.37,-65.77
00723,PR,22850,29711,26745,18,-66.01
00725,PR,29488,29711,26745,18.23,-66.03
00726,PR,0,29711,26745,18.23,-66.03
00727,PR,37608,29711,26745,18.22,-66.07
00728,PR,22951,22541,26745,17.99,-66.66
00729,PR,30429,29711,26745,18.37,-65.9
00730,PR,21826,22541,26745,18.03,-66.62
00731,PR,20463,22541,26745,18.11,-66.63
00732,PR,0,22541,26745,17.98,-66.6
00733,PR,0,22541,26745,17.98,-66.6
00734,PR,0,null,26745,17.98,-66.6
